Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount;Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Total Claim Amount;Policy Type;Vehicle Class;Customer;State;Customer Lifetime Value;Education;Gender;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Total Claim Amount;Vehicle Class;Unnamed: 0;Customer;State;Customer Lifetime Value;Response;Coverage;Education;Effective To Date;EmploymentStatus;Gender;Income;Location Code;Marital Status;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Policy Type;Policy;Renew Offer Type;Sales Channel;Total Claim Amount;Vehicle Class;Vehicle Size;Vehicle Type;month
FF22360;Washington;F;Doctor;268731.41%;82210.0;68.0;1/4/00;Personal Auto;Four-Door Car;51.961915;NF53775;California;F;College;370038.50%;17557.0;96.0;1/0/00;666.724937;Personal Auto;Four-Door Car;UP60200;California;26576.31541;Bachelor;M;87002.0;110.0;0.0;Personal Auto;199.851173;Two-Door Car;143;VF36700;Oregon;24278.10167;No;Extended;Master;2011-02-26;Retired;F;20983;Urban;Single;97;10.0;52;1.0;2;Personal Auto;Personal L2;Offer1;Branch;451.751555;Four-Door Car;Medsize;A;February
LM19287;Oregon;F;High School or Below;373150.46%;0.0;96.0;1/0/00;Personal Auto;Four-Door Car;460.8;YB58778;California;F;College;532883.59%;81064.0;70.0;1/4/00;42.238585;Personal Auto;Two-Door Car;XZ64172;Oregon;10963.95723;High School or Below;M;55687.0;276.0;0.0;Corporate Auto;1324.8;Luxury SUV;144;NR16284;California;7462.926263;Yes;Extended;College;2011-01-28;Employed;F;70263;Rural;Married;93;30.0;66;0.0;5;Personal Auto;Personal L3;Offer2;Call Center;7.345946;Two-Door Car;Small;A;January
AZ82578;California;F;College;792882.93%;0.0;72.0;1/0/00;Corporate Auto;Four-Door Car;345.6;ZO14864;Washington;F;Master;341720.50%;42526.0;86.0;1/0/00;287.5426;Personal Auto;Two-Door Car;CI68869;Arizona;1898.683686;College;F;0.0;70.0;5.0;Personal Auto;702.020904;Two-Door Car;146;XX53620;Oregon;2891.272351;No;Basic;Bachelor;2011-02-02;Employed;F;80590;Rural;Married;71;4.0;19;0.0;1;Corporate Auto;Corporate L3;Offer4;Branch;134.158389;Four-Door Car;Small;A;February
PD27940;Arizona;M;High School or Below;488516.25%;26372.0;126.0;1/0/00;Personal Auto;SUV;604.8;MY13737;California;M;High School or Below;938675.30%;42090.0;119.0;1/0/00;203.352239;Corporate Auto;SUV;HH55884;Arizona;3495.891476;College;M;10275.0;97.0;0.0;Personal Auto;465.6;Four-Door Car;152;AZ64856;California;5048.051359;No;Extended;High School or Below;2011-02-17;Employed;F;34452;Suburban;Married;126;2.0;51;0.0;1;Personal Auto;Personal L1;Offer4;Agent;604.8;SUV;Large;A;February
BS77946;Arizona;F;Bachelor;975330.71%;17514.0;127.0;1/0/00;Personal Auto;SUV;8.312729;OR48881;Oregon;F;Doctor;630892.24%;21368.0;79.0;1/0/00;4.61262;Corporate Auto;Four-Door Car;JP69867;Nevada;8512.13221;College;M;61725.0;106.0;0.0;Personal Auto;508.8;Four-Door Car;153;SA88518;Oregon;7737.265103;No;Basic;College;2011-01-19;Employed;F;50296;Rural;Married;65;26.0;62;1.0;2;Personal Auto;Personal L2;Offer1;Call Center;46.804;Two-Door Car;Medsize;A;January
RC62865;Oregon;M;College;351738.58%;51814.0;92.0;1/0/00;Personal Auto;Four-Door Car;56.300724;BQ12347;AZ;M;High School or Below;563079.30%;72874.0;70.0;1/0/00;336.0;Special Auto;Four-Door Car;GB66110;California;4422.409799;Bachelor;M;0.0;62.0;0.0;Personal Auto;722.432062;Two-Door Car;156;MW48891;Washington;8007.399376;Yes;Basic;High School or Below;2011-01-02;Unemployed;F;0;Suburban;Divorced;112;12.0;93;0.0;3;Personal Auto;Personal L3;Offer1;Web;537.6;Sports Car;Medsize;A;January
OS94884;Arizona;F;Bachelor;764928.20%;52705.0;64.0;1/1/00;Personal Auto;Two-Door Car;128.705563;BW25236;AZ;M;College;1845357.63%;72215.0;66.0;1/0/00;247.911872;Personal Auto;Four-Door Car;PE59368;Washington;5123.484988;Bachelor;F;72096.0;64.0;0.0;Personal Auto;252.330905;Two-Door Car;159;KX55910;Oregon;4957.033603;No;Basic;College;2011-01-15;Employed;F;62803;Suburban;Married;62;16.0;12;0.0;5;Personal Auto;Personal L3;Offer2;Web;400.959425;Two-Door Car;Small;A;January
OY51402;Washington;F;High School or Below;825576.39%;54040.0;103.0;1/0/00;Personal Auto;SUV;59.987126;QG51953;Oregon;M;College;483578.32%;36655.0;61.0;1/0/00;295.223164;Personal Auto;Four-Door Car;WP58340;Arizona;10963.95723;High School or Below;M;55687.0;276.0;0.0;Personal Auto;1324.8;Luxury SUV;161;QB47024;Washington;5898.733666;No;Extended;Bachelor;2011-02-17;Employed;F;53998;Suburban;Divorced;78;5.0;38;5.0;8;Personal Auto;Personal L3;Offer1;Call Center;414.519064;Four-Door Car;Medsize;A;February
RI78966;Oregon;M;Master;777115.90%;21876.0;68.0;1/0/00;Personal Auto;Four-Door Car;465.41477;GW14109;California;F;High School or Below;3849694.70%;48409.0;124.0;1/0/00;345.211703;Special Auto;SUV;MN95006;California;6928.601611;Bachelor;M;22907.0;180.0;2.0;Personal Auto;49.18776;Luxury SUV;165;JL70559;Arizona;5310.861767;No;Basic;College;2011-02-02;Unemployed;F;0;Suburban;Married;72;17.0;11;1.0;3;Personal Auto;Personal L1;Offer1;Branch;345.6;Four-Door Car;Small;A;February
IC13702;California;F;Bachelor;696834.19%;0.0;69.0;1/1/00;Personal Auto;Four-Door Car;496.8;GP42026;California;M;High School or Below;838263.01%;19683.0;117.0;1/1/00;561.6;Personal Auto;Sports Car;NP60037;Oregon;14318.44839;Bachelor;M;22697.0;186.0;1.0;Corporate Auto;892.8;Luxury SUV;166;TW73441;Nevada;2773.455358;No;Basic;High School or Below;2011-01-26;Employed;F;73478;Urban;Married;68;2.0;38;0.0;1;Personal Auto;Personal L2;Offer2;Call Center;241.88878;Four-Door Car;Medsize;A;January
LP45550;Oregon;F;Doctor;1536384.72%;15897.0;101.0;1/0/00;Personal Auto;Four-Door Car;303.148399;WE60408;AZ;F;College;433987.11%;91761.0;109.0;1/2/00;779.052276;Personal Auto;SUV;XW60886;California;6275.155361;High School or Below;M;0.0;90.0;0.0;Personal Auto;900.242038;Four-Door Car;171;HX74855;Washington;2471.528431;Yes;Basic;High School or Below;2011-01-15;Employed;M;95697;Rural;Married;61;16.0;55;0.0;1;Personal Auto;Personal L3;Offer2;Agent;114.273025;Two-Door Car;Medsize;A;January
OE75747;Nevada;F;College;218964.25%;0.0;61.0;1/3/00;Personal Auto;Four-Door Car;292.8;MD87746;Oregon;M;College;750745.54%;60920.0;64.0;1/0/00;231.201886;Personal Auto;Two-Door Car;HY76810;Oregon;6282.317743;Bachelor;F;0.0;172.0;0.0;Corporate Auto;141.460349;SUV;173;CV40610;California;12313.16484;No;Premium;College;2011-01-17;Unemployed;M;0;Suburban;Single;116;7.0;57;0.0;2;Personal Auto;Personal L1;Offer1;Call Center;835.2;Two-Door Car;Medsize;A;January
DX91392;California;M;High School or Below;578018.22%;51066.0;74.0;1/0/00;Personal Auto;Four-Door Car;787.993313;QP80741;Washington;F;College;604857.42%;0.0;61.0;1/3/00;292.8;Corporate Auto;Four-Door Car;JL41129;California;7986.191274;Bachelor;M;74217.0;100.0;0.0;Personal Auto;418.005524;SUV;174;MV69686;Oregon;3982.180708;No;Extended;Doctor;2011-01-03;Employed;F;38500;Urban;Married;99;26.0;49;1.0;1;Corporate Auto;Corporate L2;Offer1;Agent;423.286512;Four-Door Car;Large;A;January
AB72731;California;F;Bachelor;463998.16%;28358.0;117.0;1/0/00;Personal Auto;Sports Car;84.024413;WO59883;Washington;F;High School or Below;1901447.63%;29822.0;61.0;1/0/00;292.8;Personal Auto;Two-Door Car;OQ41280;Nevada;6503.219978;High School or Below;M;46298.0;88.0;3.0;Corporate Auto;128.292466;Four-Door Car;175;IB67546;California;8237.037945;No;Basic;Bachelor;2011-01-17;Medical Leave;F;23940;Suburban;Married;107;13.0;34;0.0;7;Personal Auto;Personal L3;Offer1;Call Center;513.6;SUV;Small;A;January
IU25463;California;F;Bachelor;1225260.18%;0.0;115.0;1/1/00;Personal Auto;Four-Door Car;552.0;VG56765;Arizona;M;High School or Below;247152.84%;95697.0;61.0;1/0/00;114.273025;Personal Auto;Two-Door Car;HB43486;Washington;9696.548818;College;F;86830.0;123.0;0.0;Personal Auto;480.533246;SUV;180;IG89777;California;7356.559341;No;Extended;High School or Below;2011-01-09;Employed;M;81145;Urban;Married;92;34.0;92;0.0;8;Corporate Auto;Corporate L2;Offer2;Call Center;321.060571;Two-Door Car;Large;A;January
PD33979;Oregon;M;High School or Below;489243.55%;21709.0;62.0;1/0/00;Personal Auto;Four-Door Car;408.374746;KR48903;Washington;M;High School or Below;250490.76%;88264.0;62.0;1/0/00;297.6;Personal Auto;Two-Door Car;BN83547;Nevada;2858.452328;High School or Below;F;40706.0;71.0;0.0;Personal Auto;166.123172;Four-Door Car;182;FL82372;Oregon;8672.194272;No;Basic;College;2011-01-26;Employed;F;22547;Suburban;Divorced;112;7.0;60;0.0;3;Corporate Auto;Corporate L3;Offer1;Agent;537.6;SUV;Medsize;A;January
OZ97704;California;F;High School or Below;1311752.22%;84311.0;111.0;1/4/00;Personal Auto;SUV;532.8;YJ99764;Nevada;M;High School or Below;795577.48%;0.0;74.0;1/0/00;355.2;Personal Auto;Four-Door Car;GB43363;Oregon;6870.607058;College;M;0.0;105.0;0.0;Personal Auto;756.0;Four-Door Car;185;DR84620;California;8071.334962;No;Basic;Bachelor;2011-02-07;Employed;M;72149;Rural;Married;101;18.0;43;0.0;6;Personal Auto;Personal L2;Offer2;Call Center;69.310166;SUV;Medsize;A;February
GK73582;California;F;Bachelor;297884.60%;64586.0;76.0;1/0/00;Personal Auto;Four-Door Car;206.837111;VO36036;Oregon;F;Doctor;353643.18%;28248.0;90.0;1/0/00;634.385937;Personal Auto;Four-Door Car;CL38124;Oregon;19688.31898;Bachelor;F;83879.0;69.0;0.0;Personal Auto;212.148485;Four-Door Car;188;QQ25666;Arizona;14510.7505;No;Basic;High School or Below;2011-01-25;Employed;M;60120;Urban;Married;182;30.0;21;0.0;6;Personal Auto;Personal L3;Offer2;Branch;716.469391;Luxury Car;Medsize;A;January
XK33449;California;F;High School or Below;238373.19%;0.0;69.0;1/0/00;Special Auto;Two-Door Car;496.8;UT73461;Oregon;F;Doctor;450539.83%;81079.0;111.0;1/0/00;134.222332;Special Auto;SUV;ZB40259;California;5480.070226;Doctor;M;59311.0;69.0;0.0;Corporate Auto;14.812808;Four-Door Car;191;YU79270;Arizona;4633.336334;No;Basic;College;2011-01-15;Medical Leave;M;27132;Suburban;Single;63;32.0;59;1.0;4;Personal Auto;Personal L1;Offer1;Branch;302.4;Four-Door Car;Medsize;A;January
EN21086;Arizona;F;High School or Below;688909.80%;0.0;63.0;1/0/00;Personal Auto;Four-Door Car;302.4;VU32116;Oregon;F;College;354640.02%;0.0;103.0;1/0/00;621.959357;Personal Auto;SUV;JW30054;Oregon;8283.066678;High School or Below;M;71034.0;103.0;0.0;Corporate Auto;494.4;Four-Door Car;194;KC22636;California;5488.931031;No;Basic;High School or Below;2011-02-17;Employed;F;33881;Rural;Married;68;11.0;83;0.0;9;Personal Auto;Personal L3;Offer2;Web;65.659137;Four-Door Car;Large;A;February
YL83902;WA;F;Bachelor;327419.46%;31686.0;81.0;1/0/00;Personal Auto;Four-Door Car;430.994107;EG94326;Nevada;M;High School or Below;427727.01%;77265.0;107.0;1/0/00;513.6;Personal Auto;SUV;AP56340;Washington;5384.671725;Bachelor;M;13103.0;72.0;0.0;Personal Auto;458.003651;Four-Door Car;195;SO43919;California;14228.23432;No;Extended;Bachelor;2011-01-16;Employed;M;31650;Suburban;Married;121;25.0;17;0.0;2;Personal Auto;Personal L3;Offer1;Branch;580.8;SUV;Medsize;A;January
ZW25874;Oregon;M;Bachelor;252155.57%;53703.0;67.0;1/2/00;Special Auto;Four-Door Car;67.632476;QI37869;California;M;College;757223.77%;12876.0;107.0;1/2/00;425.964628;Corporate Auto;Four-Door Car;QE79527;California;8427.172486;Bachelor;F;46503.0;215.0;1.0;Personal Auto;1032.0;Luxury SUV;197;WW30771;Arizona;2673.319593;No;Basic;Master;2011-02-13;Employed;M;28728;Suburban;Married;67;8.0;10;0.0;1;Personal Auto;Personal L3;Offer4;Branch;321.6;Four-Door Car;Small;A;February
EH41854;WA;F;High School or Below;2370611.34%;0.0;96.0;1/1/00;Personal Auto;Two-Door Car;844.481918;SX65826;Arizona;M;Bachelor;1176087.64%;36431.0;99.0;1/0/00;513.252488;Personal Auto;Two-Door Car;UP36767;California;4553.809528;College;M;61064.0;113.0;0.0;Personal Auto;539.774172;SUV;198;BL29046;Oregon;5332.462694;Yes;Basic;Doctor;2011-02-22;Employed;F;68931;Urban;Married;66;32.0;30;0.0;7;Corporate Auto;Corporate L2;Offer2;Branch;309.577946;Four-Door Car;Medsize;A;February
MW70227;California;M;College;604702.52%;20396.0;76.0;1/1/00;Personal Auto;Four-Door Car;364.8;XO42145;Oregon;M;High School or Below;393381.40%;25927.0;103.0;1/0/00;674.973614;Personal Auto;SUV;PG43749;Oregon;4318.433036;College;F;17572.0;110.0;0.0;Personal Auto;639.769748;Two-Door Car;199;LN50325;Arizona;10064.60828;No;Extended;High School or Below;2011-02-03;Employed;F;20440;Suburban;Married;128;11.0;54;2.0;9;Corporate Auto;Corporate L3;Offer3;Branch;614.4;Sports Car;Medsize;A;February
ZX64745;California;M;College;792313.66%;0.0;113.0;1/0/00;Personal Auto;SUV;1124.427734;WO94087;Arizona;F;Bachelor;636195.40%;0.0;87.0;1/0/00;417.6;Corporate Auto;Four-Door Car;SA54664;Washington;2654.380994;Master;M;73196.0;66.0;1.0;Personal Auto;85.809817;Four-Door Car;203;SZ70655;California;4293.009593;No;Basic;College;2011-01-31;Unemployed;F;0;Suburban;Single;61;18.0;15;0.0;8;Corporate Auto;Corporate L3;Offer1;Agent;292.8;Two-Door Car;Large;A;January
FL34139;California;M;High School or Below;368811.09%;0.0;63.0;1/3/00;Personal Auto;Four-Door Car;669.682001;YJ69332;Oregon;F;High School or Below;650339.70%;22081.0;84.0;1/0/00;451.670309;Personal Auto;Two-Door Car;TW12556;Oregon;4428.031583;High School or Below;F;58577.0;110.0;0.0;Personal Auto;303.872752;SUV;204;QP69826;Arizona;3567.503755;Yes;Basic;Bachelor;2011-01-07;Unemployed;M;0;Suburban;Married;102;28.0;11;0.0;1;Corporate Auto;Corporate L2;Offer2;Agent;660.430456;SUV;Medsize;A;January
BG76355;WA;F;Bachelor;627412.39%;68964.0;78.0;1/0/00;Personal Auto;Four-Door Car;115.086827;BF72793;California;F;High School or Below;673297.09%;0.0;62.0;1/0/00;446.4;Personal Auto;Two-Door Car;HG64216;California;2832.513487;College;M;37124.0;72.0;0.0;Personal Auto;430.518791;Two-Door Car;209;CM78608;California;5823.162917;No;Basic;High School or Below;2011-01-31;Employed;F;88359;Rural;Divorced;73;1.0;49;0.0;9;Personal Auto;Personal L3;Offer2;Call Center;35.915639;Two-Door Car;Medsize;A;January
KX54357;WA;M;College;1136526.77%;84910.0;95.0;1/0/00;Corporate Auto;Two-Door Car;383.167471;AY84441;Oregon;M;High School or Below;400285.76%;0.0;114.0;1/0/00;820.8;Personal Auto;SUV;OC47565;Oregon;5947.215835;College;F;67760.0;74.0;0.0;Special Auto;465.278453;Four-Door Car;212;UX91266;California;3484.141641;No;Extended;Bachelor;2011-01-10;Employed;M;34307;Rural;Divorced;92;33.0;62;2.0;1;Personal Auto;Personal L3;Offer1;Call Center;186.025014;Four-Door Car;Medsize;A;January
EZ78112;Cali;Femal;High School or Below;561096.43%;77493.0;70.0;1/0/00;Special Auto;Four-Door Car;307.963291;JQ65500;Oregon;F;Bachelor;862099.74%;44988.0;108.0;1/0/00;518.4;Corporate Auto;Two-Door Car;HH14259;Arizona;2563.863345;Bachelor;F;0.0;69.0;0.0;Personal Auto;97.691104;Four-Door Car;213;WO53546;Oregon;34039.05613;No;Basic;College;2011-01-28;Unemployed;M;0;Suburban;Divorced;104;26.0;66;0.0;2;Personal Auto;Personal L3;Offer2;Agent;499.2;Sports Car;Medsize;A;January
XN16891;Arizona;M;College;291289.20%;81097.0;74.0;1/0/00;Personal Auto;Four-Door Car;355.2;OI29521;Oregon;F;College;1038898.60%;33432.0;90.0;1/0/00;161.423101;Corporate Auto;Two-Door Car;QF66741;Nevada;15144.40954;College;M;0.0;62.0;1.0;Personal Auto;307.649586;Two-Door Car;214;ZX85480;Washington;7995.441263;No;Basic;High School or Below;2011-01-02;Employed;F;66685;Rural;Married;67;35.0;50;2.0;2;Personal Auto;Personal L2;Offer2;Call Center;38.763897;Two-Door Car;Large;A;January
CC30924;Oregon;M;College;626266.33%;30110.0;159.0;1/0/00;Corporate Auto;Sports Car;466.436375;QI64880;California;M;Bachelor;700727.42%;0.0;101.0;1/0/00;973.787176;Corporate Auto;SUV;MK73855;Washington;8109.364607;High School or Below;F;32314.0;68.0;0.0;Personal Auto;326.4;Four-Door Car;216;QJ22057;Nevada;4454.104455;No;Basic;College;2011-02-22;Unemployed;F;0;Suburban;Single;68;5.0;72;1.0;3;Personal Auto;Personal L3;Offer1;Branch;326.4;Four-Door Car;Large;A;February
IT78748;Oregon;Femal;High School or Below;650339.70%;22081.0;84.0;1/0/00;Special Auto;Two-Door Car;451.670309;HV93429;Oregon;F;Master;517657.91%;23636.0;65.0;1/0/00;81.452537;Personal Auto;Four-Door Car;HU82227;Arizona;15638.57599;College;M;49214.0;102.0;3.0;Corporate Auto;371.322406;Four-Door Car;217;FZ79470;Arizona;5395.346288;No;Basic;Bachelor;2011-02-24;Unemployed;F;0;Suburban;Married;74;13.0;30;0.0;4;Personal Auto;Personal L2;Offer3;Web;355.2;Four-Door Car;Medsize;A;February
CO44221;Cali;M;College;292991.65%;98473.0;72.0;1/0/00;Personal Auto;Four-Door Car;345.6;OB98149;Washington;F;College;470000.75%;11417.0;63.0;1/0/00;302.4;Personal Auto;Two-Door Car;KJ50265;Washington;10418.31143;High School or Below;M;27951.0;91.0;0.0;Personal Auto;436.8;Four-Door Car;219;VE64781;Arizona;2927.07045;No;Basic;Bachelor;2011-02-14;Employed;F;75685;Suburban;Married;73;35.0;47;0.0;1;Personal Auto;Personal L3;Offer2;Agent;369.918482;Four-Door Car;Small;A;February
DE21533;Cali;M;Bachelor;547315.99%;93870.0;69.0;1/0/00;Personal Auto;Four-Door Car;331.2;FF68864;Arizona;F;Bachelor;1401052.74%;36523.0;71.0;1/0/00;101.353875;Personal Auto;Four-Door Car;SO47345;Arizona;9403.875138;Master;F;56410.0;117.0;0.0;Personal Auto;523.99823;SUV;221;UB51030;Washington;6582.450781;No;Basic;High School or Below;2011-02-15;Unemployed;F;0;Suburban;Single;62;3.0;44;0.0;2;Special Auto;Special L3;Offer1;Agent;297.6;Four-Door Car;Medsize;A;February
UK68427;WA;M;High School or Below;636926.24%;34498.0;83.0;1/0/00;Personal Auto;Two-Door Car;398.4;LZ26801;California;F;High School or Below;816157.69%;73466.0;102.0;1/1/00;204.74051;Personal Auto;SUV;FH36069;Arizona;21101.21422;College;F;61347.0;106.0;0.0;Personal Auto;604.237801;SUV;223;IE36279;California;2844.849804;No;Basic;Bachelor;2011-02-06;Employed;M;80306;Suburban;Divorced;71;11.0;12;0.0;1;Corporate Auto;Corporate L1;Offer3;Call Center;340.8;Two-Door Car;Medsize;A;February
CD88896;Nevada;Femal;High School or Below;251459.20%;43860.0;65.0;1/0/00;Corporate Auto;Four-Door Car;156.124914;ZD63451;California;M;Bachelor;250366.04%;53338.0;63.0;1/1/00;35.45384;Personal Auto;Four-Door Car;PN47493;Oregon;2680.900678;College;F;41968.0;67.0;0.0;Corporate Auto;183.207703;Four-Door Car;227;BW80872;Washington;4434.411172;No;Premium;High School or Below;2011-01-13;Employed;M;34549;Rural;Married;111;8.0;78;0.0;1;Personal Auto;Personal L2;Offer2;Web;125.933005;Four-Door Car;Medsize;A;January
WU14435;Cali;M;Bachelor;496096.54%;18174.0;66.0;1/0/00;Corporate Auto;Four-Door Car;395.934815;DT35588;Oregon;M;College;433038.60%;60475.0;107.0;1/0/00;513.6;Personal Auto;Four-Door Car;IG80173;California;2863.312165;Master;F;36706.0;71.0;0.0;Personal Auto;435.606086;Four-Door Car;229;EP29567;Washington;7031.463693;No;Extended;Master;2011-01-24;Retired;M;16224;Suburban;Married;93;13.0;55;0.0;9;Corporate Auto;Corporate L1;Offer3;Web;498.452698;Four-Door Car;Medsize;A;January
XV84099;Arizona;Femal;Bachelor;550413.90%;0.0;73.0;1/0/00;Corporate Auto;Four-Door Car;350.4;VF87723;California;M;College;1048774.33%;30658.0;89.0;1/0/00;441.757585;Personal Auto;Four-Door Car;JG76775;Washington;30061.69259;High School or Below;M;48258.0;249.0;0.0;Personal Auto;1195.2;Luxury Car;230;AX70794;California;2449.31771;No;Basic;High School or Below;2011-02-04;Employed;M;47122;Suburban;Single;62;6.0;77;0.0;1;Personal Auto;Personal L2;Offer2;Branch;297.6;Two-Door Car;Medsize;A;February
